Date : 2022-11-20 21:41:19
Directory : d:\uber\flutter-clean-architecture-uber
Total : 117 files,  4665 codes, 420 comments, 745 blanks, all 5830 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         62 |      2,804 |         49 |        406 |      3,259 |
| C++             |         16 |        502 |        107 |        170 |        779 |
| XML             |         10 |        439 |         42 |         11 |        492 |
| CMake           |          7 |        333 |        107 |         84 |        524 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| YAML            |          6 |        135 |         90 |         24 |        249 |
| Gradle          |          3 |        103 |          6 |         24 |        133 |
| Swift           |          4 |         52 |          3 |         12 |         67 |
| HTML            |          1 |         37 |         16 |          6 |         59 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown        |          2 |          4 |          0 |          2 |          6 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        117 |      4,665 |        420 |        745 |      5,830 |
| .github                                                                                                                      |          4 |         91 |         15 |         11 |        117 |
| .github\workflows                                                                                                            |          4 |         91 |         15 |         11 |        117 |
| android                                                                                                                      |         11 |        145 |         46 |         34 |        225 |
| android\app                                                                                                                  |          7 |        100 |         46 |         22 |        168 |
| android\app\src                                                                                                              |          6 |         34 |         40 |          8 |         82 |
| android\app\src\debug                                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                         |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res                                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                      |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| assets\icons                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                              |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                          |         61 |      2,790 |         39 |        399 |      3,228 |
| lib\config                                                                                                                   |          3 |        162 |          2 |         18 |        182 |
| lib\config\routes                                                                                                            |          1 |          7 |          2 |          5 |         14 |
| lib\config\themes                                                                                                            |          2 |        155 |          0 |         13 |        168 |
| lib\core                                                                                                                     |         18 |        832 |         16 |        142 |        990 |
| lib\core\functions                                                                                                           |          1 |         33 |          0 |          5 |         38 |
| lib\core\resources                                                                                                           |          6 |        329 |          1 |         84 |        414 |
| lib\core\translations                                                                                                        |          5 |        317 |          1 |         15 |        333 |
| lib\core\translations\langs                                                                                                  |          2 |        275 |          1 |          3 |        279 |
| lib\core\translations\local_storage                                                                                          |          1 |          9 |          0 |          3 |         12 |
| lib\core\use_case                                                                                                            |          1 |         23 |          0 |          6 |         29 |
| lib\core\utility                                                                                                             |          3 |         57 |         14 |         22 |         93 |
| lib\core\widgets                                                                                                             |          1 |         20 |          0 |          4 |         24 |
| lib\data                                                                                                                     |          5 |        140 |          0 |         26 |        166 |
| lib\data\data_sources                                                                                                        |          2 |         61 |          0 |         16 |         77 |
| lib\data\models                                                                                                              |          1 |         30 |          0 |          3 |         33 |
| lib\data\repositories_impl                                                                                                   |          2 |         49 |          0 |          7 |         56 |
| lib\domain                                                                                                                   |          8 |         67 |          0 |         25 |         92 |
| lib\domain\entities                                                                                                          |          1 |          5 |          0 |          2 |          7 |
| lib\domain\repositories                                                                                                      |          2 |         10 |          0 |          3 |         13 |
| lib\domain\use_cases                                                                                                         |          5 |         52 |          0 |         20 |         72 |
| lib\domain\use_cases\auth                                                                                                    |          3 |         30 |          0 |         12 |         42 |
| lib\domain\use_cases\personal_info                                                                                           |          2 |         22 |          0 |          8 |         30 |
| lib\generated                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| lib\presentation                                                                                                             |         25 |      1,566 |         20 |        182 |      1,768 |
| lib\presentation\common_widgets                                                                                              |          6 |        231 |          3 |         26 |        260 |
| lib\presentation\common_widgets\text_field                                                                                   |          2 |         83 |          0 |          8 |         91 |
| lib\presentation\cubit                                                                                                       |          4 |        114 |          0 |         30 |        144 |
| lib\presentation\cubit\firebaseAuthCubit                                                                                     |          2 |         62 |          0 |         15 |         77 |
| lib\presentation\cubit\personal_info_cubit                                                                                   |          2 |         52 |          0 |         15 |         67 |
| lib\presentation\layouts                                                                                                     |          1 |         59 |          0 |          9 |         68 |
| lib\presentation\pages                                                                                                       |         14 |      1,162 |         17 |        117 |      1,296 |
| lib\presentation\pages\account                                                                                               |          1 |         19 |          0 |          5 |         24 |
| lib\presentation\pages\activity                                                                                              |          1 |         33 |          0 |          4 |         37 |
| lib\presentation\pages\home                                                                                                  |          1 |        200 |          0 |         17 |        217 |
| lib\presentation\pages\map                                                                                                   |          2 |        164 |         15 |         19 |        198 |
| lib\presentation\pages\map\logic                                                                                             |          1 |         34 |          0 |          6 |         40 |
| lib\presentation\pages\map\view                                                                                              |          1 |        130 |         15 |         13 |        158 |
| lib\presentation\pages\register                                                                                              |          8 |        691 |          2 |         63 |        756 |
| lib\presentation\pages\register\code_verification                                                                            |          2 |        213 |          0 |         15 |        228 |
| lib\presentation\pages\register\code_verification\logic                                                                      |          1 |         27 |          0 |          4 |         31 |
| lib\presentation\pages\register\code_verification\view                                                                       |          1 |        186 |          0 |         11 |        197 |
| lib\presentation\pages\register\complete_user_info                                                                           |          2 |        163 |          2 |         23 |        188 |
| lib\presentation\pages\register\complete_user_info\logic                                                                     |          1 |         77 |          2 |         18 |         97 |
| lib\presentation\pages\register\complete_user_info\view                                                                      |          1 |         86 |          0 |          5 |         91 |
| lib\presentation\pages\register\register_page                                                                                |          2 |        186 |          0 |         15 |        201 |
| lib\presentation\pages\register\register_page\logic                                                                          |          1 |         18 |          0 |          3 |         21 |
| lib\presentation\pages\register\register_page\view                                                                           |          1 |        168 |          0 |         12 |        180 |
| lib\presentation\pages\register\widgets                                                                                      |          2 |        129 |          0 |         10 |        139 |
| lib\presentation\pages\type_of_register                                                                                      |          1 |         55 |          0 |          9 |         64 |
| linux                                                                                                                        |          8 |        250 |         81 |         80 |        411 |
| linux\flutter                                                                                                                |          4 |         89 |         25 |         27 |        141 |
| macos                                                                                                                        |          5 |        451 |          3 |         12 |        466 |
| macos\Flutter                                                                                                                |          1 |         20 |          3 |          4 |         27 |
| macos\Runner                                                                                                                 |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                      |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                         |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                          |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                                      |         14 |        584 |        133 |        173 |        890 |
