"filename", "language", "Dart", "Markdown", "YAML", "C++", "CMake", "HTML", "Swift", "JSON", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"d:\uber\flutter-clean-architecture-uber\.github\workflows\ci.yml", "YAML", 0, 0, -33, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -45
"d:\uber\flutter-clean-architecture-uber\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -19
"d:\uber\flutter-clean-architecture-uber\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -17
"d:\uber\flutter-clean-architecture-uber\.github\workflows\releases.yml", "YAML", 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -36
"d:\uber\flutter-clean-architecture-uber\README.md", "Markdown", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\uber\flutter-clean-architecture-uber\analysis_options.yaml", "YAML", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -23, -4, -30
"d:\uber\flutter-clean-architecture-uber\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, -66, 0, -6, -14, -86
"d:\uber\flutter-clean-architecture-uber\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -4, -1, -9
"d:\uber\flutter-clean-architecture-uber\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"d:\uber\flutter-clean-architecture-uber\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"d:\uber\flutter-clean-architecture-uber\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"d:\uber\flutter-clean-architecture-uber\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"d:\uber\flutter-clean-architecture-uber\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -4, -1, -9
"d:\uber\flutter-clean-architecture-uber\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -6, -35
"d:\uber\flutter-clean-architecture-uber\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"d:\uber\flutter-clean-architecture-uber\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"d:\uber\flutter-clean-architecture-uber\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -4, -12
"d:\uber\flutter-clean-architecture-uber\assets\icons\my-location.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"d:\uber\flutter-clean-architecture-uber\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -2, -14
"d:\uber\flutter-clean-architecture-uber\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -122, 0, 0, 0, 0, -1, -123
"d:\uber\flutter-clean-architecture-uber\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, -1, -24
"d:\uber\flutter-clean-architecture-uber\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"d:\uber\flutter-clean-architecture-uber\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -1, -38
"d:\uber\flutter-clean-architecture-uber\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, -1, -1, -27
"d:\uber\flutter-clean-architecture-uber\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\uber\flutter-clean-architecture-uber\lib\config\routes\route_app.dart", "Dart", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -14
"d:\uber\flutter-clean-architecture-uber\lib\config\themes\app_theme.dart", "Dart", -140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -148
"d:\uber\flutter-clean-architecture-uber\lib\config\themes\theme_service.dart", "Dart", -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -20
"d:\uber\flutter-clean-architecture-uber\lib\core\functions\toast_show.dart", "Dart", -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -38
"d:\uber\flutter-clean-architecture-uber\lib\core\my_app.dart", "Dart", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -59
"d:\uber\flutter-clean-architecture-uber\lib\core\resources\assets_manager.dart", "Dart", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"d:\uber\flutter-clean-architecture-uber\lib\core\resources\color_manager.dart", "Dart", -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -47
"d:\uber\flutter-clean-architecture-uber\lib\core\resources\font_manager.dart", "Dart", -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -45
