"filename", "language", "Dart", "comment", "blank", "total"
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\account\account_page.dart", "Dart", 19, 0, 5, 24
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\activity\activity_page.dart", "Dart", 33, 0, 4, 37
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\home\home_page.dart", "Dart", 207, 0, 17, 224
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\logic\map_logic.dart", "Dart", 43, 0, 10, 53
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\logic\search_destination\search_destination_logic.dart", "Dart", 25, 0, 4, 29
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\view\initial_map\initial_map_page.dart", "Dart", 119, 0, 11, 130
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\view\search_destination\search_destination_page.dart", "Dart", 245, 1, 13, 259
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\map_widgets\circle_with_box_shadow.dart", "Dart", 22, 0, 4, 26
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\map_widgets\location_icon.dart", "Dart", 69, 0, 10, 79
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\search_text_field.dart", "Dart", 31, 0, 3, 34
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\code_verification\logic\code_verification_logic.dart", "Dart", 27, 0, 4, 31
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\code_verification\view\code_verification.dart", "Dart", 186, 0, 11, 197
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\complete_user_info\logic\complete_user_logic.dart", "Dart", 77, 2, 18, 97
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\complete_user_info\view\complete_user_info.dart", "Dart", 86, 0, 5, 91
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\register_page\logic\register_page_logic.dart", "Dart", 18, 0, 3, 21
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\register_page\view\register_page.dart", "Dart", 168, 0, 12, 180
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\widgets\custom_register_button.dart", "Dart", 78, 0, 7, 85
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\widgets\next_button.dart", "Dart", 51, 0, 3, 54
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\type_of_register\type_of_register.dart", "Dart", 54, 0, 9, 63
"Total", "-", 1558, 3, 153, 1714
