"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter_projects\main\flutter-full-uber-clone\.github\workflows\ci.yml", "YAML", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 45
"d:\flutter_projects\main\flutter-full-uber-clone\.github\workflows\firebase-hosting-merge.yml", "YAML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 19
"d:\flutter_projects\main\flutter-full-uber-clone\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"d:\flutter_projects\main\flutter-full-uber-clone\.github\workflows\releases.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 36
"d:\flutter_projects\main\flutter-full-uber-clone\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\flutter_projects\main\flutter-full-uber-clone\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\flutter_projects\main\flutter-full-uber-clone\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 6, 14, 86
"d:\flutter_projects\main\flutter-full-uber-clone\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"d:\flutter_projects\main\flutter-full-uber-clone\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\flutter_projects\main\flutter-full-uber-clone\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\flutter_projects\main\flutter-full-uber-clone\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\flutter_projects\main\flutter-full-uber-clone\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\flutter_projects\main\flutter-full-uber-clone\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"d:\flutter_projects\main\flutter-full-uber-clone\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\flutter_projects\main\flutter-full-uber-clone\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter_projects\main\flutter-full-uber-clone\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
